,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1990
462,Afghanistan,AFG,TOT,Afghanistan,AFG,0
463,Afghanistan,AFG,TOT,Albania,ALB,0
464,Afghanistan,AFG,TOT,Algeria,DZA,10
465,Afghanistan,AFG,TOT,American Samoa,ASM,0
466,Afghanistan,AFG,TOT,Andorra,AND,5
467,Afghanistan,AFG,TOT,Angola,AGO,0
468,Afghanistan,AFG,TOT,Anguilla,AIA,0
469,Afghanistan,AFG,TOT,Antigua and Barbuda,ATG,0
470,Afghanistan,AFG,TOT,Argentina,ARG,21
471,Afghanistan,AFG,TOT,Armenia,ARM,0
472,Afghanistan,AFG,TOT,Aruba,ABW,0
473,Afghanistan,AFG,TOT,Australia,AUS,2637
474,Afghanistan,AFG,TOT,Austria,AUT,267
475,Afghanistan,AFG,TOT,Azerbaijan,AZE,0
476,Afghanistan,AFG,TOT,"Bahamas, The",BHS,0
477,Afghanistan,AFG,TOT,Bahrain,BHR,22519
478,Afghanistan,AFG,TOT,Bangladesh,BGD,144
479,Afghanistan,AFG,TOT,Barbados,BRB,0
480,Afghanistan,AFG,TOT,Belarus,BLR,0
481,Afghanistan,AFG,TOT,Belgium,BEL,229
482,Afghanistan,AFG,TOT,Belize,BLZ,0
483,Afghanistan,AFG,TOT,Benin,BEN,0
484,Afghanistan,AFG,TOT,Bermuda,BMU,0
485,Afghanistan,AFG,TOT,Bhutan,BTN,0
486,Afghanistan,AFG,TOT,Bolivia,BOL,2
487,Afghanistan,AFG,TOT,Bosnia and Herzegovina,BIH,2
488,Afghanistan,AFG,TOT,Botswana,BWA,0
489,Afghanistan,AFG,TOT,Brazil,BRA,47
490,Afghanistan,AFG,TOT,Brunei Darussalam,BRN,0
491,Afghanistan,AFG,TOT,Bulgaria,BGR,178
492,Afghanistan,AFG,TOT,Burkina Faso,BFA,0
493,Afghanistan,AFG,TOT,Burundi,BDI,0
494,Afghanistan,AFG,TOT,Cambodia,KHM,0
495,Afghanistan,AFG,TOT,Cameroon,CMR,0
496,Afghanistan,AFG,TOT,Canada,CAN,1539
497,Afghanistan,AFG,TOT,Cape Verde,CPV,0
498,Afghanistan,AFG,TOT,Cayman Islands,CYM,0
499,Afghanistan,AFG,TOT,Central African Republic,CAF,0
500,Afghanistan,AFG,TOT,Chad,TCD,0
501,Afghanistan,AFG,TOT,Channel Islands,CHI,..
502,Afghanistan,AFG,TOT,Chile,CHL,0
503,Afghanistan,AFG,TOT,China,CHN,8
504,Afghanistan,AFG,TOT,Colombia,COL,1
505,Afghanistan,AFG,TOT,Comoros,COM,0
506,Afghanistan,AFG,TOT,"Congo, Dem. Rep.",COD,3
507,Afghanistan,AFG,TOT,"Congo, Rep.",COG,0
508,Afghanistan,AFG,TOT,Cook Islands,COK,0
509,Afghanistan,AFG,TOT,Costa Rica,CRI,16
510,Afghanistan,AFG,TOT,Cote d'Ivoire,CIV,0
511,Afghanistan,AFG,TOT,Croatia,HRV,11
512,Afghanistan,AFG,TOT,Cuba,CUB,0
513,Afghanistan,AFG,TOT,Cyprus,CYP,25
514,Afghanistan,AFG,TOT,Czech Republic,CZE,19
515,Afghanistan,AFG,TOT,Denmark,DNK,384
516,Afghanistan,AFG,TOT,Djibouti,DJI,0
517,Afghanistan,AFG,TOT,Dominica,DMA,0
518,Afghanistan,AFG,TOT,Dominican Republic,DOM,5
519,Afghanistan,AFG,TOT,Ecuador,ECU,0
520,Afghanistan,AFG,TOT,"Egypt, Arab Rep.",EGY,177
521,Afghanistan,AFG,TOT,El Salvador,SLV,0
522,Afghanistan,AFG,TOT,Equatorial Guinea,GNQ,0
523,Afghanistan,AFG,TOT,Eritrea,ERI,0
524,Afghanistan,AFG,TOT,Estonia,EST,0
525,Afghanistan,AFG,TOT,Ethiopia,ETH,0
526,Afghanistan,AFG,TOT,Faeroe Islands,FRO,14
527,Afghanistan,AFG,TOT,Falkland Islands (Malvinas),FLK,0
528,Afghanistan,AFG,TOT,Fiji,FJI,8
529,Afghanistan,AFG,TOT,Finland,FIN,4
530,Afghanistan,AFG,TOT,France,FRA,51
531,Afghanistan,AFG,TOT,French Guiana,GUF,0
532,Afghanistan,AFG,TOT,French Polynesia,PYF,1
533,Afghanistan,AFG,TOT,Gabon,GAB,0
534,Afghanistan,AFG,TOT,"Gambia, The",GMB,0
535,Afghanistan,AFG,TOT,Georgia,GEO,0
536,Afghanistan,AFG,TOT,Germany,DEU,15875
537,Afghanistan,AFG,TOT,Ghana,GHA,6
