Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1970
Afghanistan,AFG,FEM,Afghanistan,AFG,0
Afghanistan,AFG,FEM,Albania,ALB,0
Afghanistan,AFG,FEM,Algeria,DZA,8
Afghanistan,AFG,FEM,American Samoa,ASM,0
Afghanistan,AFG,FEM,Andorra,AND,0
Afghanistan,AFG,FEM,Angola,AGO,0
Afghanistan,AFG,FEM,Anguilla,AIA,0
Afghanistan,AFG,FEM,Antigua and Barbuda,ATG,0
Afghanistan,AFG,FEM,Argentina,ARG,4
Afghanistan,AFG,FEM,Armenia,ARM,0
Afghanistan,AFG,FEM,Aruba,ABW,0
Afghanistan,AFG,FEM,Australia,AUS,31
Afghanistan,AFG,FEM,Austria,AUT,64
Afghanistan,AFG,FEM,Azerbaijan,AZE,0
Afghanistan,AFG,FEM,"Bahamas, The",BHS,0
Afghanistan,AFG,FEM,Bahrain,BHR,32
Afghanistan,AFG,FEM,Bangladesh,BGD,40
Afghanistan,AFG,FEM,Barbados,BRB,0
Afghanistan,AFG,FEM,Belarus,BLR,0
Afghanistan,AFG,FEM,Belgium,BEL,34
Afghanistan,AFG,FEM,Belize,BLZ,0
Afghanistan,AFG,FEM,Benin,BEN,0
Afghanistan,AFG,FEM,Bermuda,BMU,0
Afghanistan,AFG,FEM,Bhutan,BTN,0
Afghanistan,AFG,FEM,Bolivia,BOL,0
Afghanistan,AFG,FEM,Bosnia and Herzegovina,BIH,0
Afghanistan,AFG,FEM,Botswana,BWA,0
Afghanistan,AFG,FEM,Brazil,BRA,0
Afghanistan,AFG,FEM,Brunei Darussalam,BRN,0
Afghanistan,AFG,FEM,Bulgaria,BGR,55
Afghanistan,AFG,FEM,Burkina Faso,BFA,0
Afghanistan,AFG,FEM,Burundi,BDI,0
Afghanistan,AFG,FEM,Cambodia,KHM,1
Afghanistan,AFG,FEM,Cameroon,CMR,0
Afghanistan,AFG,FEM,Canada,CAN,1474
Afghanistan,AFG,FEM,Cape Verde,CPV,0
Afghanistan,AFG,FEM,Cayman Islands,CYM,0
