,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1990
0,Afghanistan,AFG,FEM,Afghanistan,AFG,0
1,Afghanistan,AFG,FEM,Albania,ALB,0
2,Afghanistan,AFG,FEM,Algeria,DZA,5
3,Afghanistan,AFG,FEM,American Samoa,ASM,0
4,Afghanistan,AFG,FEM,Andorra,AND,2
5,Afghanistan,AFG,FEM,Angola,AGO,0
6,Afghanistan,AFG,FEM,Anguilla,AIA,0
7,Afghanistan,AFG,FEM,Antigua and Barbuda,ATG,0
8,Afghanistan,AFG,FEM,Argentina,ARG,20
9,Afghanistan,AFG,FEM,Armenia,ARM,0
10,Afghanistan,AFG,FEM,Aruba,ABW,0
11,Afghanistan,AFG,FEM,Australia,AUS,1236
12,Afghanistan,AFG,FEM,Austria,AUT,149
13,Afghanistan,AFG,FEM,Azerbaijan,AZE,0
14,Afghanistan,AFG,FEM,"Bahamas, The",BHS,0
15,Afghanistan,AFG,FEM,Bahrain,BHR,6227
16,Afghanistan,AFG,FEM,Bangladesh,BGD,12
17,Afghanistan,AFG,FEM,Barbados,BRB,0
18,Afghanistan,AFG,FEM,Belarus,BLR,0
19,Afghanistan,AFG,FEM,Belgium,BEL,120
20,Afghanistan,AFG,FEM,Belize,BLZ,0
21,Afghanistan,AFG,FEM,Benin,BEN,0
22,Afghanistan,AFG,FEM,Bermuda,BMU,0
23,Afghanistan,AFG,FEM,Bhutan,BTN,0
24,Afghanistan,AFG,FEM,Bolivia,BOL,0
25,Afghanistan,AFG,FEM,Bosnia and Herzegovina,BIH,1
26,Afghanistan,AFG,FEM,Botswana,BWA,0
27,Afghanistan,AFG,FEM,Brazil,BRA,15
28,Afghanistan,AFG,FEM,Brunei Darussalam,BRN,0
29,Afghanistan,AFG,FEM,Bulgaria,BGR,56
30,Afghanistan,AFG,FEM,Burkina Faso,BFA,0
31,Afghanistan,AFG,FEM,Burundi,BDI,0
32,Afghanistan,AFG,FEM,Cambodia,KHM,0
33,Afghanistan,AFG,FEM,Cameroon,CMR,0
34,Afghanistan,AFG,FEM,Canada,CAN,655
35,Afghanistan,AFG,FEM,Cape Verde,CPV,0
36,Afghanistan,AFG,FEM,Cayman Islands,CYM,0
37,Afghanistan,AFG,FEM,Central African Republic,CAF,0
38,Afghanistan,AFG,FEM,Chad,TCD,0
39,Afghanistan,AFG,FEM,Channel Islands,CHI,..
40,Afghanistan,AFG,FEM,Chile,CHL,0
41,Afghanistan,AFG,FEM,China,CHN,3
42,Afghanistan,AFG,FEM,Colombia,COL,1
43,Afghanistan,AFG,FEM,Comoros,COM,0
44,Afghanistan,AFG,FEM,"Congo, Dem. Rep.",COD,2
45,Afghanistan,AFG,FEM,"Congo, Rep.",COG,0
46,Afghanistan,AFG,FEM,Cook Islands,COK,0
47,Afghanistan,AFG,FEM,Costa Rica,CRI,9
48,Afghanistan,AFG,FEM,Cote d'Ivoire,CIV,0
49,Afghanistan,AFG,FEM,Croatia,HRV,4
50,Afghanistan,AFG,FEM,Cuba,CUB,0
51,Afghanistan,AFG,FEM,Cyprus,CYP,12
52,Afghanistan,AFG,FEM,Czech Republic,CZE,10
